executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
2,2096,0.1218763809234412,0.15850196490365695,2,false,true,true,false,lz4,71,54,org.apache.spark.serializer.JavaSerializer,652.0
2,3655,0.630342412211278,0.49061654811598887,1,false,false,true,true,lz4,55,31,org.apache.spark.serializer.JavaSerializer,1032.0
2,1994,0.5474604684414085,0.3395498840658254,2,false,false,false,false,lzf,8,18,org.apache.spark.serializer.JavaSerializer,600.0
1,2512,0.30007229119423007,0.26818248854536064,8,false,false,false,true,lz4,46,36,org.apache.spark.serializer.KryoSerializer,690.0
4,1218,0.8882297602836378,0.7610605754421386,12,true,false,false,false,lz4,33,28,org.apache.spark.serializer.JavaSerializer,945.0
2,3259,0.3515766881244369,0.4539032585599949,11,true,true,false,false,lzf,15,10,org.apache.spark.serializer.KryoSerializer,623.0
3,1391,0.2841213556793572,0.5379449899784097,2,false,true,false,false,lzf,74,26,org.apache.spark.serializer.JavaSerializer,955.0
2,1996,0.867821935154884,0.6047863754038487,6,true,true,false,true,lzf,88,11,org.apache.spark.serializer.JavaSerializer,636.0
2,1370,0.7046536454381943,0.657749450357057,5,false,true,false,false,lz4,28,11,org.apache.spark.serializer.KryoSerializer,624.0
3,3262,0.8282493495363606,0.20813641819693754,6,true,true,true,true,lzf,79,63,org.apache.spark.serializer.JavaSerializer,992.0
3,2543,0.18666894962400926,0.5894710912781005,9,true,true,true,true,lzf,52,40,org.apache.spark.serializer.JavaSerializer,896.0
1,3110,0.6721600689257707,0.798380519827527,2,true,false,true,true,snappy,12,47,org.apache.spark.serializer.KryoSerializer,687.0
3,1089,0.8952975046241419,0.5192900811599498,3,true,true,false,false,snappy,95,47,org.apache.spark.serializer.KryoSerializer,998.0
3,1380,0.7768449140440179,0.3355549957192049,10,false,true,true,false,snappy,40,34,org.apache.spark.serializer.JavaSerializer,767.0
3,3076,0.5681378274777299,0.8281979179248073,9,true,true,true,true,snappy,26,44,org.apache.spark.serializer.JavaSerializer,972.0
3,1462,0.7262905656952289,0.23676018810279614,3,false,false,false,true,lzf,71,46,org.apache.spark.serializer.KryoSerializer,1001.0
4,1225,0.3054216613513503,0.28937033530830625,1,false,true,true,true,lzf,28,29,org.apache.spark.serializer.KryoSerializer,938.0
4,2418,0.6569625371917728,0.5445221842287967,4,false,false,false,false,lz4,13,17,org.apache.spark.serializer.KryoSerializer,985.0
3,2970,0.14144366402747688,0.5026419468954099,12,false,false,true,false,snappy,85,45,org.apache.spark.serializer.JavaSerializer,860.0
3,1944,0.7527090806854919,0.6412846823672449,10,false,false,true,false,lzf,30,61,org.apache.spark.serializer.KryoSerializer,896.0
1,2852,0.7743763277474259,0.8725292566564559,1,true,false,true,true,lz4,49,15,org.apache.spark.serializer.KryoSerializer,732.0
1,2112,0.6874766207750864,0.8955930682646943,12,true,true,false,false,lz4,64,49,org.apache.spark.serializer.JavaSerializer,405.0
2,1423,0.44386659646150906,0.714587505786342,6,false,true,true,false,lz4,11,16,org.apache.spark.serializer.JavaSerializer,713.0
2,1644,0.53587508425655,0.27341141626215837,1,true,true,true,false,lzf,8,51,org.apache.spark.serializer.KryoSerializer,677.0
3,2834,0.8439839047266398,0.46191218365201014,6,true,true,false,false,lzf,34,57,org.apache.spark.serializer.KryoSerializer,956.0
1,1698,0.46218162551143294,0.7096767584932832,3,false,false,false,false,lz4,27,44,org.apache.spark.serializer.JavaSerializer,387.0
2,1741,0.43636854321286234,0.44719209391507675,2,false,false,true,false,snappy,90,42,org.apache.spark.serializer.JavaSerializer,685.0
1,2791,0.34266433273832375,0.14890692516289086,8,false,true,true,false,lz4,23,36,org.apache.spark.serializer.JavaSerializer,671.0
1,1561,0.3817519518746789,0.6798526807383081,11,true,false,false,true,snappy,90,63,org.apache.spark.serializer.KryoSerializer,398.0
3,3015,0.210993131324686,0.884385413156039,4,true,true,true,true,snappy,49,64,org.apache.spark.serializer.JavaSerializer,976.0
1,3136,0.18161504038373089,0.5902504902483252,10,false,false,false,false,snappy,67,40,org.apache.spark.serializer.KryoSerializer,682.0
3,1037,0.7256528659370817,0.8862638369132986,2,false,false,false,false,lz4,17,11,org.apache.spark.serializer.KryoSerializer,990.0
4,1419,0.4620459932943083,0.4902159908674153,7,false,false,true,true,lz4,79,50,org.apache.spark.serializer.KryoSerializer,889.0
3,2374,0.55256264831034,0.5530808667171964,4,false,false,false,true,lz4,14,45,org.apache.spark.serializer.JavaSerializer,994.0
2,1284,0.7183355344417368,0.30313670643876095,6,true,false,false,true,snappy,34,27,org.apache.spark.serializer.JavaSerializer,644.0
3,3489,0.36618897370674075,0.12115540716232386,3,true,false,false,true,lzf,14,60,org.apache.spark.serializer.JavaSerializer,988.0
1,3910,0.15193762725233234,0.7144827669239151,7,false,true,true,true,snappy,64,34,org.apache.spark.serializer.KryoSerializer,857.0
3,2322,0.8069798537851703,0.5376176945510978,9,true,false,true,true,snappy,62,25,org.apache.spark.serializer.KryoSerializer,985.0
2,2738,0.12797395553617036,0.7331430426248144,4,true,true,false,false,lzf,64,37,org.apache.spark.serializer.JavaSerializer,671.0
3,3108,0.7427552847853328,0.379120672037517,10,false,false,false,false,lzf,32,36,org.apache.spark.serializer.JavaSerializer,912.0
1,2061,0.31159368894081096,0.5995493531279398,10,false,false,true,false,lzf,94,53,org.apache.spark.serializer.JavaSerializer,516.0
4,3293,0.22738555992840165,0.28127766973444945,11,false,false,true,true,snappy,26,56,org.apache.spark.serializer.JavaSerializer,981.0
2,2738,0.8864996998615657,0.1839568497282066,12,true,true,false,false,snappy,42,10,org.apache.spark.serializer.JavaSerializer,689.0
4,3762,0.31757833592410234,0.17686141753011297,2,true,true,false,true,snappy,71,44,org.apache.spark.serializer.JavaSerializer,962.0
2,1445,0.845043139772533,0.5402677497862362,10,true,false,true,false,lzf,58,54,org.apache.spark.serializer.KryoSerializer,549.0
4,1456,0.19297489350869654,0.6274133515286253,6,false,false,true,false,lzf,70,23,org.apache.spark.serializer.KryoSerializer,969.0
