maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
74.0,11.0,1837.0,11052.0,28868.0,127.0,1.0,2486.0,25.0,80.0,415.0,34.0,1240.2
226.0,19.0,7402.0,27443.0,34582.0,53.0,5.0,33770.0,21.0,322.0,485.0,4.0,1117.1
360.0,48.0,4091.0,7471.0,12550.0,19.0,6.0,34367.0,2.0,207.0,260.0,43.0,1059.0
483.0,15.0,5800.0,29411.0,26651.0,82.0,5.0,2989.0,44.0,281.0,392.0,32.0,1145.5
432.0,1.0,2281.0,21866.0,49233.0,138.0,4.0,18511.0,26.0,130.0,57.0,26.0,1140.4
478.0,22.0,4292.0,7298.0,21017.0,140.0,7.0,39827.0,8.0,236.0,108.0,32.0,1123.3
33.0,41.0,6585.0,2514.0,24503.0,189.0,2.0,6564.0,49.0,261.0,59.0,11.0,1079.3
168.0,19.0,7937.0,47599.0,27225.0,96.0,3.0,35360.0,31.0,141.0,485.0,12.0,1284.0
419.0,20.0,3566.0,27081.0,13288.0,34.0,5.0,24569.0,17.0,384.0,58.0,48.0,1144.3
279.0,10.0,5946.0,27153.0,39590.0,88.0,9.0,48450.0,23.0,146.0,364.0,43.0,1165.0
468.0,18.0,6003.0,28856.0,49346.0,66.0,5.0,34189.0,48.0,484.0,22.0,50.0,1181.3
353.0,4.0,1843.0,28632.0,7410.0,76.0,9.0,39267.0,47.0,310.0,72.0,30.0,1156.1
24.0,44.0,3079.0,12352.0,26393.0,100.0,7.0,14037.0,14.0,159.0,44.0,18.0,1127.9
43.0,31.0,5136.0,2253.0,11042.0,4.0,6.0,8185.0,46.0,270.0,95.0,10.0,998.8
95.0,8.0,3592.0,37376.0,18905.0,87.0,10.0,1465.0,45.0,81.0,477.0,34.0,1127.8
80.0,1.0,582.0,48410.0,49301.0,48.0,4.0,41200.0,7.0,365.0,388.0,47.0,1171.5
490.0,50.0,3717.0,34574.0,17579.0,75.0,9.0,11741.0,15.0,400.0,350.0,46.0,1029.0
303.0,37.0,290.0,6287.0,17065.0,13.0,4.0,40687.0,22.0,10.0,91.0,44.0,1089.3
199.0,41.0,7394.0,46124.0,24595.0,149.0,10.0,1396.0,45.0,190.0,153.0,3.0,1116.4
159.0,10.0,7059.0,47772.0,34790.0,22.0,10.0,31228.0,21.0,261.0,425.0,37.0,1107.9
358.0,48.0,4137.0,1209.0,7322.0,167.0,6.0,24448.0,26.0,245.0,237.0,30.0,1261.8
306.0,5.0,3672.0,24250.0,40317.0,122.0,4.0,8299.0,12.0,27.0,499.0,45.0,1073.2
298.0,50.0,3964.0,23576.0,6974.0,151.0,1.0,38709.0,18.0,405.0,295.0,9.0,1000.0
32.0,2.0,7886.0,46925.0,49532.0,96.0,6.0,29192.0,4.0,159.0,440.0,11.0,1118.2
461.0,16.0,3973.0,49050.0,30920.0,154.0,2.0,28413.0,38.0,285.0,310.0,46.0,1219.1
339.0,30.0,3555.0,28772.0,29365.0,125.0,6.0,40560.0,37.0,254.0,61.0,13.0,1168.1
362.0,10.0,5769.0,25638.0,26220.0,41.0,6.0,43304.0,36.0,2.0,46.0,24.0,1047.1
