STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,PERF
0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,-1
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,252.46
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,252.46
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,-1
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,-1
0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,250.23
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,251.12
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,251.75
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,251.12
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,-1
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,251.75
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,-1
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,-1
0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,-1
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,261.52
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,-1
0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,-1
0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,253.92
0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,-1
