no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,64.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,64.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,1.0,6935.69
0.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,1.0,6935.69
