no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1.0,0.0,1.0,0.0,1.0,1.0,0.0,46.0,1.0,5768.22
1.0,0.0,1.0,0.0,1.0,1.0,0.0,40.0,1.0,5768.22
1.0,0.0,1.0,0.0,1.0,1.0,0.0,47.0,1.0,5768.22
1.0,0.0,1.0,0.0,1.0,1.0,0.0,45.0,1.0,5768.22
1.0,0.0,1.0,0.0,1.0,1.0,0.0,40.0,1.0,5768.22
1.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,1.0,5688.78
1.0,0.0,0.0,0.0,1.0,1.0,0.0,51.0,1.0,5688.78
0.0,0.0,1.0,0.0,1.0,1.0,0.0,48.0,1.0,5680.22
0.0,0.0,1.0,0.0,1.0,1.0,0.0,48.0,1.0,5680.22
0.0,0.0,1.0,0.0,1.0,1.0,0.0,48.0,1.0,5680.22
