replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
3,73,721,-4,202,5,no,2646,66,75034.58333333333
3,128,692,-1,240,8,no,727,465,74082.26333333334
6,125,1013,-3,184,15,yes,2913,447,72665.96333333333
6,101,583,-3,116,14,no,2889,135,72728.09666666666
7,84,647,-5,203,20,yes,2972,119,73010.68333333333
10,45,544,-1,171,7,no,110,392,74076.78333333334
5,67,722,-4,187,5,yes,3991,461,73547.83333333333
8,88,648,-5,152,18,no,3287,436,72334.14333333333
6,121,313,-1,279,11,no,3572,192,77259.27333333333
9,37,335,-3,248,18,yes,3119,225,81572.31999999999
8,99,657,-1,149,12,no,3614,335,79617.93333333333
2,76,275,-2,162,12,no,3805,330,72882.48333333334
11,83,1012,-5,110,6,no,148,72,70641.64
2,46,565,-1,176,19,yes,171,358,74093.23
7,91,738,-1,173,20,yes,489,313,72876.41666666667
11,125,903,-5,274,20,yes,595,380,68589.61333333334
11,121,672,-1,253,12,yes,4322,501,74285.99666666667
2,89,638,-3,281,13,no,317,82,71093.22333333334
7,79,826,-2,235,9,yes,3537,286,66044.30666666666
9,85,433,-4,233,20,yes,1797,322,79367.91666666667
8,71,976,-3,116,6,yes,2818,459,72381.49333333333
10,34,804,-4,162,10,no,2273,201,76038.82666666666
5,96,864,-3,100,20,yes,2126,38,71007.75333333334
7,120,437,-3,168,8,yes,4835,394,76651.28333333334
8,90,260,-3,231,5,yes,597,412,72983.06333333334
7,112,983,-2,124,17,no,1433,31,69351.69666666667
3,88,1000,-5,123,17,yes,4110,203,79902.79666666668
7,116,603,-3,282,12,no,952,219,83599.55666666669
7,77,848,-2,142,14,no,3447,463,71287.09
8,39,620,-2,186,8,no,2503,408,71972.67666666667
8,49,324,-5,291,6,yes,1793,190,76347.74333333333
7,74,565,-2,254,19,yes,1764,87,72018.72000000002
2,107,268,-3,168,8,no,12,17,75206.16
11,45,398,-1,100,11,no,4860,495,75477.28333333334
10,123,588,-1,147,9,yes,1452,495,71457.31666666667
4,84,441,-2,158,19,yes,2233,82,79492.15666666666
8,109,454,-2,264,17,yes,2041,238,74219.81666666667
4,46,850,-1,212,6,no,1860,229,71262.13666666666
6,71,802,-1,240,17,no,4795,175,82671.26333333335
9,38,590,-4,185,8,no,4316,258,65306.26333333333
11,61,749,-3,274,8,no,989,53,69162.77
8,69,889,-1,163,7,no,1624,90,79521.08333333333
7,88,1012,-4,229,5,no,2743,260,70597.5
6,71,1019,-1,246,7,yes,4711,285,74373.68333333333
9,76,932,-2,219,17,yes,433,30,73157.29
10,123,398,-3,240,8,yes,3998,358,67894.61333333334
10,36,881,-5,179,11,yes,274,1,75803.99666666666
5,108,727,-2,223,19,no,2019,207,76189.39
7,46,477,-2,219,11,no,1583,420,73309.42333333334
11,127,788,-5,117,16,no,734,211,72512.20666666667
2,77,648,-3,112,13,no,1221,482,70362.03000000001
2,48,463,-5,114,14,no,1867,410,67937.93666666666
7,120,711,-3,163,20,yes,2572,336,72146.34999999999
11,78,492,-5,192,10,no,3740,226,77258.15333333334
1,93,778,-3,294,20,no,7,127,71776.06666666667
8,51,729,-3,265,12,no,2133,396,72481.36333333334
9,58,597,-4,171,8,no,1336,312,74832.2
4,105,451,-1,122,15,no,478,468,73910.02
4,114,868,-4,140,15,no,2720,487,77380.19
9,78,762,-4,280,19,yes,739,433,77873.87333333334
2,54,544,-1,167,13,no,2168,246,77976.04333333333
1,71,730,-3,123,5,yes,1884,328,71674.84666666666
10,121,548,-2,135,18,yes,4279,195,80624.28333333333
5,46,421,-4,280,20,no,1943,407,71688.43666666666
7,115,914,-4,118,16,yes,2011,113,74475.46666666667
11,121,488,-2,201,9,no,1617,23,75125.87
11,56,504,-2,122,17,no,727,332,73777.31
4,124,624,-1,102,18,yes,2931,322,75290.19333333334
2,110,519,-3,234,18,no,321,176,74497.46666666667
8,120,396,-2,228,15,yes,1066,328,70405.79333333333
4,49,731,-5,292,13,yes,4220,302,75777.67666666668
9,35,949,-4,176,16,yes,3466,251,73804.57666666668
10,115,421,-2,149,11,yes,3965,494,81506.51333333332
5,33,462,-2,275,15,no,4177,321,75791.85666666667
2,102,684,-3,126,16,no,769,322,75950.34666666668
11,59,552,-2,187,19,yes,217,39,75570.23
5,96,470,-3,221,18,yes,4300,440,74270.56
4,100,1011,-5,137,9,yes,2540,91,73585.71666666667
7,95,642,-2,199,13,yes,716,295,72160.5
4,112,378,-1,115,5,no,1683,355,73914.32666666666
5,65,337,-3,121,13,no,1726,4,77343.82333333333
3,54,438,-2,279,13,no,1623,14,70181.60666666667
2,59,737,-4,180,8,yes,4816,485,76442.97666666667
6,60,835,-4,264,18,yes,4263,152,84176.16666666667
4,117,413,-3,293,20,no,494,188,70126.22
1,107,285,-5,262,5,yes,417,292,79626.22
4,75,983,-2,250,6,yes,4993,113,76111.25333333334
3,33,921,-2,268,15,yes,523,214,77067.97666666667
3,69,316,-5,155,10,yes,4802,193,76370.94333333334
1,68,403,-3,184,10,no,4703,118,73519.65666666668
6,46,1008,-2,173,19,no,1591,149,77389.67
7,50,383,-5,155,8,no,4234,250,79442.41000000002
6,43,862,-1,168,8,yes,612,305,79254.77333333333
7,115,810,-4,146,8,yes,365,486,74844.81
