replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
11.0,123.0,299.0,-5.0,267.0,16.0,yes,1541.0,304.0,70336.234375
7,88,378,-3,179,16,yes,4747,273,-1
5,58,284,-5,193,10,no,4459,264,-1
7,55,274,-4,127,13,yes,3372,92,-1
10.0,108.0,820.0,-1.0,253.0,17.0,no,4905.0,482.0,77051.328125
3,104,805,-3,206,12,yes,2504,417,-1
5,117,947,-3,214,19,yes,2433,112,-1
4,99,384,-1,154,19,no,4787,354,-1
6,82,756,-3,162,8,yes,4671,313,-1
2,111,814,-1,138,16,no,3265,138,-1
3,116,338,-3,271,9,no,4403,212,-1
8.0,35.0,534.0,-4.0,235.0,6.0,yes,127.0,366.0,77178.625
1,57,881,-4,137,15,no,216,496,-1
3,35,520,-3,248,7,no,154,225,-1
9.0,103.0,949.0,-2.0,272.0,16.0,no,1128.0,331.0,76676.3046875
4,42,600,-2,126,14,no,2574,73,-1
11,57,721,-3,104,13,no,284,18,-1
3,41,744,-3,297,19,yes,1162,223,-1
4,89,735,-2,242,9,no,2631,3,-1
1,71,341,-2,148,6,no,1158,110,-1
6,77,494,-2,142,19,yes,3645,218,-1
6.0,88.0,295.0,-3.0,205.0,8.0,no,4013.0,184.0,76653.21875
6.0,120.0,725.0,-4.0,297.0,11.0,no,3427.0,52.0,77176.1484375
4,113,773,-5,190,11,no,1041,295,-1
2,59,542,-1,115,16,no,2858,197,-1
6,104,559,-5,124,6,yes,3205,481,-1
8.0,34.0,762.0,-2.0,245.0,12.0,no,2285.0,400.0,73322.03125
4,83,623,-1,261,19,yes,1484,117,-1
6.0,57.0,584.0,-2.0,284.0,14.0,yes,480.0,179.0,76726.328125
11,46,576,-5,117,18,yes,3240,65,-1
4,54,771,-2,188,13,no,2704,476,-1
9,41,653,-2,151,18,no,3516,203,-1
11,107,696,-4,188,5,yes,4409,91,-1
6.0,78.0,567.0,-2.0,287.0,16.0,no,4810.0,166.0,76837.4921875
8,95,841,-2,145,14,no,3335,490,-1
7.0,33.0,613.0,-2.0,277.0,15.0,yes,86.0,473.0,76637.671875
8,90,951,-1,120,17,yes,998,373,-1
7.0,50.0,874.0,-4.0,222.0,12.0,no,2830.0,235.0,76756.40625
3,125,312,-5,197,18,yes,3773,244,-1
8,64,461,-3,106,6,yes,868,376,-1
9.0,71.0,774.0,-2.0,273.0,7.0,no,1908.0,233.0,74061.1328125
4,33,684,-1,173,13,no,2214,436,-1
4,94,628,-3,283,6,yes,1521,324,-1
9,95,558,-2,119,14,no,2652,426,-1
9,92,493,-4,192,8,no,4789,57,-1
9,68,536,-4,115,12,no,2210,147,-1
10.0,120.0,595.0,-2.0,286.0,10.0,no,1189.0,96.0,76780.1171875
8,68,529,-2,147,17,yes,2001,413,-1
4,116,967,-3,238,19,yes,3755,436,-1
10.0,104.0,1008.0,-4.0,224.0,15.0,no,1976.0,88.0,78452.9140625
11,66,622,-1,137,19,no,140,176,-1
5,120,934,-2,187,13,no,4168,196,-1
4,93,372,-4,285,6,no,1022,126,-1
5,56,519,-4,148,14,no,1864,385,-1
2,46,909,-3,256,7,yes,4227,170,-1
9,91,559,-1,178,12,yes,1584,420,-1
7.0,88.0,670.0,-1.0,298.0,18.0,no,2059.0,263.0,77074.25
1,42,1020,-4,287,15,yes,387,154,-1
9,33,337,-4,135,7,yes,460,487,-1
7,37,946,-4,196,13,no,2511,31,-1
3,120,887,-3,236,18,no,2461,67,-1
2,42,419,-5,143,11,yes,4293,453,-1
8,81,960,-4,121,17,yes,1052,190,-1
4,73,584,-3,260,17,yes,2364,143,-1
9.0,127.0,432.0,-2.0,240.0,15.0,no,2759.0,102.0,76571.390625
3,88,751,-2,248,16,no,239,387,-1
9,112,715,-5,139,7,yes,2721,94,-1
11,126,947,-3,158,8,yes,3505,140,-1
10.0,87.0,573.0,-3.0,244.0,12.0,yes,610.0,352.0,78728.8671875
4,119,421,-4,208,11,yes,4619,102,-1
9,99,860,-3,191,10,no,1273,96,-1
6,50,616,-3,162,8,yes,4301,112,-1
7,95,936,-2,162,8,yes,1496,7,-1
10,51,496,-4,151,16,no,2203,211,-1
9,34,701,-4,130,14,no,324,295,-1
10.0,94.0,637.0,-2.0,283.0,7.0,no,4824.0,464.0,74860.7890625
3,100,927,-3,240,13,no,1065,32,-1
8,45,733,-3,187,20,no,2374,191,-1
3,54,665,-2,118,19,yes,269,355,-1
5,81,334,-3,204,17,yes,3524,368,-1
3,34,624,-4,128,10,yes,3079,324,-1
10.0,42.0,685.0,-5.0,234.0,12.0,no,1553.0,331.0,77152.3125
6.0,123.0,529.0,-4.0,285.0,14.0,no,3921.0,183.0,76685.84375
10.0,93.0,874.0,-1.0,202.0,20.0,no,1702.0,420.0,76913.9765625
1,97,1023,-2,272,6,yes,3048,219,-1
5,108,381,-5,219,19,yes,3366,148,-1
10.0,36.0,445.0,-2.0,279.0,11.0,yes,554.0,299.0,76749.15625
2,54,402,-5,181,13,no,3258,27,-1
6,83,566,-1,125,11,no,1864,488,-1
7.0,82.0,594.0,-3.0,290.0,17.0,yes,812.0,298.0,79370.2265625
2,66,274,-2,295,15,yes,1252,222,-1
6.0,73.0,463.0,-4.0,250.0,19.0,yes,3108.0,15.0,68526.734375
4,113,1003,-3,214,15,no,3561,184,-1
9.0,76.0,765.0,-3.0,207.0,12.0,yes,3774.0,211.0,78571.4375
6.0,118.0,830.0,-2.0,292.0,7.0,yes,3121.0,228.0,76764.0390625
11.0,125.0,556.0,-3.0,253.0,15.0,no,3991.0,175.0,77975.765625
2,96,755,-3,200,20,yes,2035,457,-1
7.0,71.0,753.0,-2.0,279.0,15.0,yes,2004.0,21.0,77358.1875
6.0,43.0,980.0,-4.0,221.0,16.0,no,4168.0,164.0,77046.7578125
2,90,565,-1,189,6,no,152,248,-1
8.0,37.0,509.0,-3.0,280.0,20.0,yes,3194.0,289.0,78701.6640625
3,91,383,-4,266,14,yes,2327,141,-1
6.0,87.0,442.0,-2.0,296.0,8.0,no,4057.0,362.0,75531.5078125
3,88,439,-2,217,13,no,2029,237,-1
5,49,408,-2,285,18,yes,3955,68,-1
3,100,257,-5,256,8,no,1977,419,-1
1,116,490,-3,195,7,yes,879,403,-1
10,76,993,-5,130,12,no,4039,264,-1
9,60,277,-1,142,11,no,2934,233,-1
3,36,515,-2,131,8,yes,3175,403,-1
